epsilon,steps,alpha,seed,held_out,auroc,f1,acc,lpips,lpips_std,lpips_net,n_images,pkl_path
32/255,20,0.03,42,koutlis2024,0.010612500000000002,0.010309278350515464,0.04,0.37982669472694397,0.15457256138324738,alex,1000,
32/255,20,0.03,42,ojha2023,0.15967499999999998,0.06465997770345595,0.161,0.3770098388195038,0.15576812624931335,alex,1000,
32/255,20,0.03,42,wang2020,0.021987500000000004,0.0,0.117,0.3819003403186798,0.15540561079978943,alex,1000,
32/255,20,0.03,234,cavia2024,0.27708125000000006,0.3219871205151794,0.263,0.38026389479637146,0.15507188439369202,alex,1000,
32/255,20,0.03,234,chen2024_clip,0.0312875,0.18114602587800369,0.114,0.37636739015579224,0.15491272509098053,alex,1000,
32/255,20,0.03,234,chen2024_convnext,0.2401625,0.002484472049689441,0.197,0.3765507638454437,0.15497303009033203,alex,1000,
32/255,20,0.03,234,corvi2023,0.04270625000000001,0.006857142857142857,0.131,0.36269763112068176,0.15472537279129028,alex,1000,
32/255,20,0.03,234,koutlis2024,0.010400000000000005,0.008316008316008316,0.046,0.3798292279243469,0.15445037186145782,alex,1000,
32/255,20,0.03,234,ojha2023,0.1622,0.05381165919282511,0.156,0.3767297863960266,0.1550172120332718,alex,1000,
32/255,20,0.03,234,wang2020,0.024031250000000004,0.0,0.11,0.3820342719554901,0.15556076169013977,alex,1000,
32/255,20,0.05,42,cavia2024,0.2849625,0.2543689320388349,0.232,0.4449595808982849,0.16846950352191925,alex,1000,
32/255,20,0.05,42,chen2024_clip,0.02948750000000001,0.10454985479186835,0.075,0.44149187207221985,0.1684112399816513,alex,1000,
32/255,20,0.05,42,chen2024_convnext,0.29046249999999996,0.002484472049689441,0.197,0.4416902959346771,0.16838936507701874,alex,1000,
32/255,20,0.05,42,corvi2023,0.05329375000000001,0.009111617312072894,0.13,0.42505383491516113,0.16803620755672455,alex,1000,
32/255,20,0.05,42,koutlis2024,0.010415625000000005,0.01450777202072539,0.049,0.44414690136909485,0.16808569431304932,alex,1000,
32/255,20,0.05,42,ojha2023,0.14486875,0.07311827956989249,0.138,0.442457377910614,0.16838042438030243,alex,1000,
32/255,20,0.05,42,wang2020,0.030256250000000002,0.0,0.141,0.44672730565071106,0.16851305961608887,alex,1000,
32/255,20,0.05,234,cavia2024,0.29011875,0.2563106796116505,0.234,0.44528111815452576,0.16837823390960693,alex,1000,
32/255,20,0.05,234,chen2024_clip,0.024750000000000008,0.1147227533460803,0.074,0.4419388771057129,0.1684432029724121,alex,1000,
32/255,20,0.05,234,chen2024_convnext,0.27459375,0.004962779156327543,0.198,0.4416434168815613,0.1684345006942749,alex,1000,
32/255,20,0.05,234,corvi2023,0.055018750000000005,0.011325028312570781,0.127,0.425545334815979,0.16770774126052856,alex,1000,
32/255,20,0.05,234,koutlis2024,0.006328125000000002,0.008255933952528379,0.039,0.444411039352417,0.168101966381073,alex,1000,
32/255,20,0.05,234,ojha2023,0.15498125,0.079484425349087,0.143,0.44234317541122437,0.16867023706436157,alex,1000,
32/255,20,0.05,234,wang2020,0.03218125000000001,0.0,0.137,0.4471612274646759,0.16830487549304962,alex,1000,
32/255,30,0.01,42,cavia2024,0.30654375,0.40069686411149824,0.312,0.21059612929821014,0.11069275438785553,alex,1000,
32/255,30,0.01,42,chen2024_clip,0.062306249999999994,0.2945736434108527,0.181,0.2075648307800293,0.11082835495471954,alex,1000,
32/255,30,0.01,42,chen2024_convnext,0.19566874999999997,0.03592814371257485,0.195,0.2077934592962265,0.11053508520126343,alex,1000,
32/255,30,0.01,42,corvi2023,0.08779375,0.02784222737819025,0.162,0.19270969927310944,0.10892431437969208,alex,1000,
32/255,30,0.01,42,koutlis2024,0.012525000000000005,0.02416918429003021,0.031,0.2108023762702942,0.11120101809501648,alex,1000,
32/255,30,0.01,42,ojha2023,0.22325625,0.02619047619047619,0.182,0.20834335684776306,0.11026972532272339,alex,1000,
32/255,30,0.01,42,wang2020,0.03393125000000001,0.0022296544035674474,0.105,0.21901346743106842,0.11371797323226929,alex,1000,
32/255,30,0.01,234,cavia2024,0.3033187500000001,0.41278065630397237,0.32,0.21073180437088013,0.11123984307050705,alex,1000,
32/255,30,0.01,234,chen2024_clip,0.052693750000000004,0.29888983774551664,0.179,0.20750567317008972,0.11023574322462082,alex,1000,
32/255,30,0.01,234,chen2024_convnext,0.2053625,0.026537997587454766,0.193,0.20794934034347534,0.11027177423238754,alex,1000,
32/255,30,0.01,234,corvi2023,0.08916875,0.03033838973162194,0.169,0.19272583723068237,0.10860416293144226,alex,1000,
32/255,30,0.01,234,koutlis2024,0.008518750000000002,0.030090270812437314,0.033,0.2108149528503418,0.11138135939836502,alex,1000,
32/255,30,0.01,234,ojha2023,0.21906874999999998,0.046620046620046623,0.182,0.20845864713191986,0.11024300009012222,alex,1000,
32/255,30,0.01,234,wang2020,0.03173125,0.0022222222222222222,0.102,0.21873202919960022,0.11361702531576157,alex,1000,
32/255,30,0.03,42,cavia2024,0.2567625,0.25862068965517243,0.226,0.4065740704536438,0.15897518396377563,alex,1000,
32/255,30,0.03,42,chen2024_clip,0.05275000000000001,0.24355555555555558,0.149,0.4035503566265106,0.1590985208749771,alex,1000,
32/255,30,0.03,42,chen2024_convnext,0.29574375,0.0024906600249066002,0.199,0.40369799733161926,0.1591021865606308,alex,1000,
32/255,30,0.03,42,corvi2023,0.04811875000000001,0.008998875140607425,0.119,0.3905852437019348,0.15980735421180725,alex,1000,
32/255,30,0.03,42,koutlis2024,0.007393750000000004,0.006179196704428424,0.035,0.4086059629917145,0.15858669579029083,alex,1000,
32/255,30,0.03,42,ojha2023,0.21393125000000002,0.08685968819599109,0.18,0.4038669466972351,0.15890370309352875,alex,1000,
32/255,30,0.03,42,wang2020,0.013475000000000003,0.0,0.106,0.40993618965148926,0.16023726761341095,alex,1000,
32/255,30,0.03,234,cavia2024,0.2728625,0.2581888246628131,0.23,0.40712735056877136,0.15887291729450226,alex,1000,
32/255,30,0.03,234,chen2024_clip,0.04886875,0.2119565217391304,0.13,0.4037448763847351,0.15951742231845856,alex,1000,
32/255,30,0.03,234,chen2024_convnext,0.27958125,0.004956629491945477,0.197,0.4031723141670227,0.15911297500133514,alex,1000,
32/255,30,0.03,234,corvi2023,0.04326875000000001,0.008998875140607425,0.119,0.39063385128974915,0.16030482947826385,alex,1000,
32/255,30,0.03,234,koutlis2024,0.008640625000000006,0.00823045267489712,0.036,0.40909332036972046,0.1586690992116928,alex,1000,
32/255,30,0.03,234,ojha2023,0.21520625,0.09343715239154617,0.185,0.4031512439250946,0.15991760790348053,alex,1000,
32/255,30,0.03,234,wang2020,0.012706250000000006,0.0,0.102,0.41013264656066895,0.16025955975055695,alex,1000,
32/255,30,0.05,42,cavia2024,0.29921875,0.2706913339824732,0.251,0.4507211446762085,0.16786126792430878,alex,1000,
32/255,30,0.05,42,chen2024_clip,0.044312500000000005,0.13371537726838584,0.093,0.4482465982437134,0.16834872961044312,alex,1000,
32/255,30,0.05,42,chen2024_convnext,0.3023874999999999,0.0049813200498132005,0.201,0.44770383834838867,0.16814352571964264,alex,1000,
32/255,30,0.05,42,koutlis2024,0.008568750000000005,0.006179196704428424,0.035,0.45117872953414917,0.16774185001850128,alex,1000,
32/255,30,0.05,42,ojha2023,0.14420625,0.09178228388473851,0.149,0.4484117031097412,0.16838395595550537,alex,1000,
32/255,30,0.05,42,wang2020,0.034125,0.0,0.146,0.454698771238327,0.16898545622825623,alex,1000,
32/255,30,0.05,234,cavia2024,0.29341249999999997,0.24999999999999997,0.238,0.45069029927253723,0.1682336926460266,alex,1000,
32/255,30,0.05,234,chen2024_clip,0.04601875000000001,0.15660377358490563,0.106,0.44795748591423035,0.16793757677078247,alex,1000,
32/255,30,0.05,234,chen2024_convnext,0.334225,0.004987531172069826,0.202,0.4477808475494385,0.16792069375514984,alex,1000,
32/255,30,0.05,234,koutlis2024,0.005406250000000003,0.012195121951219511,0.028,0.45121464133262634,0.1674230545759201,alex,1000,
32/255,30,0.05,234,ojha2023,0.16960625000000001,0.08269858541893363,0.157,0.4482799470424652,0.16841541230678558,alex,1000,
32/255,30,0.05,234,wang2020,0.03263125000000001,0.0,0.146,0.4549242854118347,0.16892455518245697,alex,1000,
